MSSubClass,LotFrontage,LotArea,Street,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,MoSold,SalePrice
60,65.0,8450,Pave,7,5,196.0,706,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2,548,2,208500
20,80.0,9600,Pave,6,8,0.0,978,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,2,460,5,181500
60,68.0,11250,Pave,7,5,162.0,486,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2,608,9,223500
70,60.0,9550,Pave,7,5,0.0,216,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,3,642,2,140000
60,84.0,14260,Pave,8,5,350.0,655,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,3,836,12,250000
50,85.0,14115,Pave,5,5,0.0,732,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,2,480,10,143000
20,75.0,10084,Pave,8,5,186.0,1369,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2,636,8,307000
60,,10382,Pave,7,6,240.0,859,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,2,484,11,200000
50,51.0,6120,Pave,7,5,0.0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,468,4,129900
190,50.0,7420,Pave,5,6,0.0,851,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1,205,1,118000
20,70.0,11200,Pave,5,5,0.0,906,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,2,129500
60,85.0,11924,Pave,9,5,286.0,998,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,3,736,7,345000
20,,12968,Pave,5,6,0.0,737,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,9,144000
20,91.0,10652,Pave,7,5,306.0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,3,840,8,279500
20,,10920,Pave,6,5,212.0,733,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,5,157000
45,51.0,6120,Pave,7,8,0.0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,2,576,7,132000
20,,11241,Pave,6,7,180.0,578,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,3,149000
90,72.0,10791,Pave,4,5,0.0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,10,90000
20,66.0,13695,Pave,5,5,0.0,646,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,6,159000
20,70.0,7560,Pave,5,6,0.0,504,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,5,139000
60,101.0,14215,Pave,8,5,380.0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,11,325300
45,57.0,7449,Pave,7,7,0.0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,6,139400
20,75.0,9742,Pave,8,5,281.0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,9,230000
120,44.0,4224,Pave,5,7,0.0,840,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,6,129900
20,,8246,Pave,5,8,0.0,188,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,5,154000
20,110.0,14230,Pave,8,5,640.0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,7,256300
20,60.0,7200,Pave,5,7,0.0,234,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,5,134800
20,98.0,11478,Pave,8,5,200.0,1218,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,5,306000
20,47.0,16321,Pave,5,6,0.0,1277,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,12,207500
30,60.0,6324,Pave,4,6,0.0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,5,68500
70,50.0,8500,Pave,4,4,0.0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,7,40000
20,,8544,Pave,5,6,0.0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,6,149350
20,85.0,11049,Pave,8,5,0.0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,1,179900
20,70.0,10552,Pave,5,5,0.0,1018,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,4,165500
120,60.0,7313,Pave,9,5,246.0,1153,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,8,277500
60,108.0,13418,Pave,8,5,132.0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,9,309000
20,112.0,10859,Pave,5,5,0.0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,6,145000
20,74.0,8532,Pave,5,6,650.0,1213,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,10,153000
20,68.0,7922,Pave,5,7,0.0,731,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,1,109000
90,65.0,6040,Pave,4,5,0.0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,6,82000
20,84.0,8658,Pave,6,5,101.0,643,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,12,160000
20,115.0,16905,Pave,5,6,0.0,967,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,7,170000
85,,9180,Pave,5,7,0.0,747,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,12,144000
20,,9200,Pave,5,6,0.0,280,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,7,130250
20,70.0,7945,Pave,5,6,0.0,179,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,5,141000
120,61.0,7658,Pave,9,5,412.0,456,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,2,319900
50,48.0,12822,Pave,7,5,0.0,1351,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,8,239686
20,84.0,11096,Pave,8,5,0.0,24,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,7,249700
190,33.0,4456,Pave,4,5,0.0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,6,113000
20,66.0,7742,Pave,5,7,0.0,763,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1,386,1,127000
60,,13869,Pave,6,6,0.0,182,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,2,388,7,177000
50,52.0,6240,Pave,6,6,0.0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,2,528,9,114500
90,110.0,8472,Grvl,5,5,0.0,104,0,816,816,0,0,816,1,0,1,0,2,1,5,0,2,516,5,110000
20,68.0,50271,Pave,9,5,0.0,1810,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,3,894,11,385000
80,60.0,7134,Pave,5,5,0.0,384,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,2,572,2,130000
20,100.0,10175,Pave,6,5,272.0,490,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,2,576,7,180500
160,24.0,2645,Pave,8,5,456.0,649,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,2,480,8,172500
60,89.0,11645,Pave,7,5,0.0,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2,565,8,196500
60,66.0,13682,Pave,10,5,1031.0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,3,641,10,438780
20,60.0,7200,Pave,5,7,0.0,632,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1,352,1,124900
20,63.0,13072,Pave,6,5,0.0,941,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2,576,5,158000
75,60.0,7200,Pave,5,7,0.0,0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,1,288,3,101000
120,44.0,6442,Pave,8,5,178.0,24,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2,484,10,202500
70,50.0,10300,Pave,7,6,0.0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,2,480,4,140000
